name,impact_score,benchmark_score
Glass Fiber Fabric,31,71%
Polypropylene (PP) Fabric,37,63%
Polyuethane Fabric,42,56%
Polyester Fabric,44,50%
Elastane/Spandex Fabric,44,48%
Polytrimethylene Terephalate Fabric,50,38%
Acrylic Fabric,52,36%
Polylactic Acid Fabric,54,34%
Acetate Fabric,56,30%
Lyocell Fabric,57,29%
Nylon Fabric,60%,26%
Jute Fiber Fabric,60,26%
Viscose/Rayon Fabric,62,25%
Modal Fabric,67,21%
Aramid Fabric,71,20%
Carbon Fiber Fabric,73,19%
Wool Fabric,82,15%
Cotton Fabric,98,10%
Hemp Fiber Fabric,160,2%
Flax Fiber Fabric,162,2%
Alpaca Fabric,283,.50%
Silk Fabric,681,.20%
